DECLARE @temp TABLE ([hha_id] [varchar](50), [hha_comments] [varchar](max), [hha_date] [datetime], [hha_num_of_meals] [int], 
[hh_id] [varchar](50), [hhm_id] [varchar](50), [icc_id] [varchar](50), [ics_id] [varchar](50), [osn_id_disagreement] [varchar](50), [swk_id] [varchar](50), 
[yn_id_child_separation] [varchar](50), [yn_id_financial_savings] [varchar](50), [yn_id_food_body_building] [varchar](50), [yn_id_food_energy] [varchar](50), 
[yn_id_food_protective] [varchar](50), [yn_id_water] [varchar](50), [ynna_id_expenses_food] [varchar](50), [ynna_id_expenses_health] [varchar](50), 
[ynna_id_expenses_school] [varchar](50), [ynns_id_assets] [varchar](50), [yns_id_latrine] [varchar](50), 
[usr_id_create] [varchar](50), [usr_id_update] [varchar](50), [usr_date_create] [datetime], [usr_date_update] [datetime], [ofc_id] [varchar](50))
INSERT INTO @temp (hha_id, hha_comments, hha_date, hha_num_of_meals, hh_id, hhm_id, icc_id, ics_id, osn_id_disagreement, swk_id, yn_id_child_separation, yn_id_financial_savings, yn_id_food_body_building, yn_id_food_energy, yn_id_food_protective, yn_id_water, ynna_id_expenses_food, ynna_id_expenses_health, ynna_id_expenses_school, ynns_id_assets, yns_id_latrine, usr_id_create, usr_id_update, usr_date_create, usr_date_update, ofc_id) 
SELECT N'1', N'', N'02 Nov 2015 00:00:00:000', 1, N'9494', N'IMPORT1', N'1', N'2', N'1', N'-1', N'1', N'1', N'1', N'1', N'1', N'1', N'1', N'1', N'1', N'1', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1014', N'', N'22 Mar 2016 00:00:00:000', 2, N'28338', N'IMPORT5570', N'2', N'1', N'0', N'dd33b1b7-f5f0-4d91-a554-ba4475bcaad8', N'0', N'0', N'0', N'1', N'0', N'0', N'0', N'0', N'0', N'2', N'2', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1015', N'', N'18 Mar 2016 00:00:00:000', 3, N'5220', N'IMPORT5576', N'3', N'3', N'0', N'4dc45fd1-8031-4386-b070-6d0c7e489fc1', N'0', N'0', N'0', N'1', N'1', N'0', N'0', N'0', N'0', N'0', N'2', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1041', N'', N'22 Mar 2016 00:00:00:000', 2, N'28567', N'IMPORT5707', N'2', N'1', N'2', N'dd33b1b7-f5f0-4d91-a554-ba4475bcaad8', N'0', N'0', N'0', N'1', N'0', N'0', N'0', N'0', N'0', N'2', N'2', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1050', N'', N'18 Mar 2016 00:00:00:000', 3, N'5268', N'IMPORT5750', N'4', N'3', N'0', N'4dc45fd1-8031-4386-b070-6d0c7e489fc1', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'1', N'2', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1060', N'', N'22 Mar 2016 00:00:00:000', 1, N'28472', N'IMPORT5805', N'4', N'1', N'0', N'dd33b1b7-f5f0-4d91-a554-ba4475bcaad8', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'2', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1066', N'', N'19 Mar 2016 00:00:00:000', 3, N'3106', N'IMPORT5832', N'4', N'3', N'0', N'4dc45fd1-8031-4386-b070-6d0c7e489fc1', N'0', N'0', N'1', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1078', N'', N'17 Mar 2016 00:00:00:000', 3, N'28327', N'IMPORT5890', N'2', N'1', N'2', N'-1', N'0', N'0', N'1', N'1', N'0', N'0', N'0', N'2', N'2', N'2', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1089', N'', N'18 Mar 2016 00:00:00:000', 3, N'5290', N'IMPORT5939', N'2', N'3', N'0', N'4dc45fd1-8031-4386-b070-6d0c7e489fc1', N'0', N'0', N'0', N'1', N'0', N'0', N'0', N'0', N'0', N'0', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1096', N'', N'17 Mar 2016 00:00:00:000', 3, N'28384', N'IMPORT5986', N'2', N'1', N'2', N'-1', N'0', N'1', N'1', N'1', N'0', N'0', N'2', N'1', N'0', N'2', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1097', N'', N'18 Mar 2016 00:00:00:000', 2, N'5407', N'IMPORT5994', N'2', N'1', N'0', N'4dc45fd1-8031-4386-b070-6d0c7e489fc1', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'0', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1108', N'', N'20 Mar 2016 00:00:00:000', 2, N'5428', N'IMPORT6039', N'3', N'3', N'0', N'4dc45fd1-8031-4386-b070-6d0c7e489fc1', N'0', N'0', N'0', N'0', N'1', N'1', N'0', N'0', N'0', N'0', N'2', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1110', N'', N'17 Mar 2016 00:00:00:000', 3, N'28342', N'IMPORT6047', N'2', N'1', N'2', N'-1', N'1', N'1', N'1', N'1', N'0', N'0', N'2', N'2', N'1', N'2', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1121', N'', N'17 Mar 2016 00:00:00:000', 3, N'28200', N'IMPORT6087', N'2', N'1', N'0', N'-1', N'0', N'1', N'1', N'1', N'0', N'0', N'1', N'2', N'1', N'2', N'2', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1124', N'', N'18 Mar 2016 00:00:00:000', 3, N'5040', N'IMPORT6098', N'2', N'1', N'2', N'4dc45fd1-8031-4386-b070-6d0c7e489fc1', N'1', N'0', N'0', N'1', N'0', N'0', N'0', N'0', N'0', N'0', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1134', N'', N'19 Mar 2016 00:00:00:000', 3, N'3138', N'IMPORT6155', N'3', N'3', N'2', N'4dc45fd1-8031-4386-b070-6d0c7e489fc1', N'0', N'0', N'0', N'1', N'0', N'0', N'0', N'0', N'0', N'1', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1138', N'', N'18 Mar 2016 00:00:00:000', 3, N'28165', N'IMPORT6184', N'2', N'1', N'2', N'-1', N'0', N'1', N'1', N'1', N'1', N'1', N'1', N'2', N'2', N'2', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1151', N'', N'18 Mar 2016 00:00:00:000', 3, N'28184', N'IMPORT6268', N'2', N'1', N'0', N'-1', N'0', N'0', N'1', N'1', N'0', N'0', N'1', N'0', N'0', N'2', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
SELECT N'1169', N'', N'18 Mar 2016 00:00:00:000', 3, N'28150', N'IMPORT6358', N'2', N'1', N'2', N'-1', N'1', N'1', N'1', N'1', N'0', N'0', N'0', N'2', N'0', N'2', N'1', N'', N'', GETDATE(), GETDATE(), N'IMPORT' UNION ALL 
